,question,ref_answer,pred_answer,bleu_score,train_data
581,Question : What did the child in Mamata's womb say to Vrihaspati?,Answer : The child in Mamata's womb told Vrihaspati that there was no space for two and he should cease from his attempt as he had occupied the space first.,Answer : The child in Mamata's womb said to Vri,{'google_bleu': 0.1864406779661017},False
582,Question : What curse did Vrihaspati pronounce on Utathya's child?,"Answer : Vrihaspati cursed Utathya's child, pronouncing that perpetual darkness shall overtake him for speaking in such a manner during a time of pleasure.",Answer : Vrihaspati cursed Utathya's child,{'google_bleu': 0.1836734693877551},True
583,Question 1: Who approached the narrator to cross the Yamuna river?,Answer 1: The great and wise Rishi Parasara approached the narrator to cross the Yamuna river.,Question 1: Who approached the narrator to cross the Yamuna river,{'google_bleu': 0.4393939393939394},False
584,Question 2: Why did the narrator give in to the Rishi's solicitations?,Answer 2: The narrator gave in to the Rishi's solicitations due to the fear of the Rishi's curse and being under his complete control.,Question 2: The narrator gave in to the Rishi's solicitations,{'google_bleu': 0.3469387755102041},True
585,Question 3: What special ability did the Rishi grant to the narrator?,Answer 3: The Rishi dispelled a revolting fishy odor in the narrator's body and gave her the present fragrance.,Question 3: The Rishi granted the narrator a special ability to read,{'google_bleu': 0.15384615384615385},False
586,Question 4: Who is the child born to the narrator and Parasara?,"Answer 4: The child born to the narrator and Parasara is the great Rishi Vyasa, also known as Dwaipayana and Krishna.",Question 4: Who is the child born to the narrator and Parasara,{'google_bleu': 0.3111111111111111},True
587,Question 5: What did the Rishi tell the narrator before he went away?,"Answer 5: The Rishi told the narrator, ""Mother, think of me when thou art in difficulty.""",Question 5: The Rishi told the narrator that he was afraid of,{'google_bleu': 0.2804878048780488},True
588,Question 1: Who led the princess of Kosala into the sleeping apartment?,"Answer 1: Satyavati, the mother-in-law of the princess of Kosala, led her into the sleeping apartment.",Answer 1: Satyavati led the princess of Kosala into the sleeping apartment,{'google_bleu': 0.4189189189189189},True
589,Question 2: What advice did Satyavati give to the princess regarding her husband's elder brother?,Answer 2: Satyavati advised the princess to wait for her husband's elder brother as he would enter her womb that night as her child.,Question 2: Satyavati gave the princess a few words regarding her husband's,{'google_bleu': 0.12244897959183673},True
590,Question 3: How did the princess react upon seeing the Rishi Vyasa?,"Answer 3: The princess closed her eyes in fear upon seeing the dark visage, matted locks, blazing eyes, and grim beard of Rishi Vyasa.",Answer 3: The princess of Kosala was astonished to see the Ri,{'google_bleu': 0.14545454545454545},False
591,Question 4: What did Vyasa tell Satyavati about the son the princess would bear?,"Answer 4: Vyasa informed Satyavati that the son born to the princess would be an illustrious royal sage, equal in might to ten thousand elephants, possessing great learning, intelligence, and energy. However, due to the fault of his mother, he would be blind.",Answer 4: Vyasa told Satyavati that the son the princess would,{'google_bleu': 0.12871287128712872},True
592,Question 5: How did Satyavati respond to Vyasa's prediction of a blind son?,Answer 5: Satyavati expressed concern about a blind person becoming a worthy monarch and the protector of his relatives and family. She requested Vyasa to provide another king for the Kurus.,Satyavati responded to Vyasa's prediction of a blind son,{'google_bleu': 0.046153846153846156},True
593,Question 1: Who was the Brahmana known as Mandavya?,"Answer 1: The Brahmana known as Mandavya was a great ascetic who was devoted to religion, truth, and asceticism.",Answer 1: The Brahmana known as Mandavya was a Brah,{'google_bleu': 0.3953488372093023},False
594,Question 2: What did the robbers do upon entering the ascetic's asylum?,Answer 2: The robbers hid their stolen goods in the ascetic's asylum and concealed themselves in fear of being caught.,Question 2: The robbers laden with spoil entered the ascetic's,{'google_bleu': 0.15853658536585366},True
595,Question 3: How did the ascetic respond when questioned by the officers of the king?,Answer 3: The ascetic remained silent and did not utter a word in reply to the officers' questioning about the whereabouts of the thieves.,"Question 3: The ascetic responded to the officers of the king by saying, """,{'google_bleu': 0.16326530612244897},True
596,Question 4: What happened to the ascetic after the officers discovered the thieves and the stolen goods?,"Answer 4: The officers, suspecting the ascetic's involvement, seized him along with the thieves and brought him before the king, who sentenced him to be executed.",Question 4: The ascetic was rescued by the officers after the thieves and the stolen,{'google_bleu': 0.1271186440677966},True
597,Question 5: How did the ascetic survive being impaled and without food?,"Answer 5: The ascetic, through his ascetic power, not only preserved his life but also summoned other Rishis to the scene. They came in the form of birds, witnessed his meditation on the stake, and expressed their grief.",Question 5: The ascetic survived being impaled and without food.,{'google_bleu': 0.06896551724137931},True
598,Question 1: What were the names of the three children born and how did their birth impact the kingdom?,"Answer 1: The names of the three children born were Kurujangala, Kurukshetra, and the Kurus. Their birth led to the growth of prosperity in the kingdom, with abundant harvests, flavorful crops, and joyful conditions for all creatures.","Answer 1: The names of the three children born were Kurujangala, Kuruk",{'google_bleu': 0.26436781609195403},False
599,Question 2: What was the state of the kingdom during this period?,"Answer 2: The kingdom experienced a golden age where people were brave, learned, honest, and happy. There were no robbers or sinful individuals, and the people were devoted to virtuous acts, sacrifices, and truth. The kingdom was filled with festivities, wealth, and prosperity.",Question 2: The state of the kingdom during this period was as follows: The earth began to,{'google_bleu': 0.0514018691588785},True
600,Question 3: Who played a significant role in the virtuous rule of the kingdom?,"Answer 3: Bhishma, through his virtuous rule, played a significant role in the prosperity of the kingdom. He set in motion the wheel of virtue, which brought contentment and attracted people from other kingdoms to settle there.",Question 3: Who played a significant role in the virtuous rule of the kingdom,{'google_bleu': 0.18072289156626506},True
601,"Question 4: How were the princes Dhritarashtra, Pandu, and Vidura raised?","Answer 4: The princes Dhritarashtra and Pandu, along with Vidura, were brought up by Bhishma as if they were his own sons. They underwent the usual rites of their order and devoted themselves to vows, study, and the development of their skills.","Question 4: How were the princes Dhritarashtra, Pandu, and Vid",{'google_bleu': 0.07368421052631578},True
602,"Question 5: How did Pandu, Dhritarashtra, and Vidura excel in different areas?","Answer 5: Pandu excelled in archery, Dhritarashtra excelled in personal strength, and Vidura was unparalleled in devotion to virtue and knowledge of moral principles.","Answer 5: Pandu, Dhritarashtra, and Vidura excelled in different",{'google_bleu': 0.20754716981132076},True
603,"Question 6: Who became the king among the three princes, and why did the other two not obtain the kingdom?","Answer 6: Pandu became the king, while Dhritarashtra, due to his blindness, and Vidura, born to a Sudra woman, did not obtain the kingdom.","Answer 6: Who became the king among the three princes, and why did the other",{'google_bleu': 0.1440677966101695},True
604,Question 7: Whom did Bhishma address and what did he discuss with that person?,"Answer 7: Bhishma addressed Vidura, who was knowledgeable about religious truth and virtue, and had a conversation with him about the duties of a statesman and the dictates of morality.",Answer 7: Bhishma addressed the person who was the father of the Kurus.,{'google_bleu': 0.16153846153846155},True
605,Who did King Pandu marry after the nuptials?,King Pandu was united with Madri.,King Pandu married Madri on auspicious day and moment as indicated by the wise,{'google_bleu': 0.08},True
606,How long did King Pandu wait after the nuptials before setting out on his grand campaign?,King Pandu waited for thirty days after the nuptials before starting his campaign.,King Pandu waited thirty days after the nuptials before setting out on his grand,{'google_bleu': 0.5},True
607,Which kingdom did King Pandu first attack and defeat in his campaign?,King Pandu first attacked and defeated the robber tribes of Asarna.,King Pandu attacked and defeated the kingdom of the Kuru king in his campaign.,{'google_bleu': 0.2777777777777778},True
608,Who was the ruler of the kingdom of Maghadha that King Pandu defeated?,"King Pandu defeated Dhirga, the ruler of the kingdom of Maghadha.",King Pandu defeated King Pandu in the battle of the kings of Maghadha,{'google_bleu': 0.2826086956521739},True
609,Which kingdoms did King Pandu subjugate after defeating Dhirga?,"King Pandu subjugated the Videhas, Kasi, Sumbha, and Pundra kingdoms.",King Pandu subjugated the kingdoms of the kings of the king,{'google_bleu': 0.22},True
610,How did the kings who were defeated by King Pandu regard him?,"The kings who were defeated by King Pandu regarded him as the one single hero on earth, similar to how the celestials regard Indra in heaven.",The kings who were defeated by King Pandu regard him as the best of monarchs,{'google_bleu': 0.3113207547169811},True
611,How did the citizens and others react upon King Pandu's return to the capital?,The citizens and others filled with joy and went out to receive the victorious king. They saw the attendants of the king laden with much wealth and a long train of conveyances carrying various kinds of wealth and animals.,King Pandu returned to the capital on the auspicious day and moment indicated by the wise,{'google_bleu': 0.03164556962025317},True
612,Whom did Pandu offer the wealth he acquired through his prowess?,"Pandu offered the wealth he acquired through his prowess to Bhishma, Satyavati, and his mothers.",Pandu offered the wealth he acquired through his prowess to Bhishma,{'google_bleu': 0.5757575757575758},True
613,Who else did Pandu gratify with presents?,Pandu gratified his other relatives with similar presents.,Pandu gratified his other relatives with similar presents.,{'google_bleu': 1.0},True
614,How many great sacrifices did Dhritarashtra perform with the wealth acquired by Pandu?,Dhritarashtra performed five great sacrifices that were equal to a hundred great horse-sacrifices.,Dhritarashtra performed many great sacrifices with the wealth acquired by Pandu.,{'google_bleu': 0.14},True
615,Where did Pandu retire with his two wives?,"Pandu retired into the woods, specifically in a delightful and hilly region overgrown with huge sala trees, on the southern slope of the Himavat mountains.",Pandu retired with his two wives from the army of Dhritarashtra.,{'google_bleu': 0.0660377358490566},True
616,How were Pandu and his wives regarded by the dwellers of the woods?,"The dwellers in the woods regarded Pandu and his wives as gods wandering amongst them, armed with weapons and skilled in excellent combat.",Pandu and his wives were regarded by the dwellers of the woods as vir,{'google_bleu': 0.1702127659574468},False
617,What were the ominous signs observed at the birth of Duryodhana?,"Jackals and other carnivorous animals howled ominously, and there were fires in various directions.",The ominous signs observed at the birth of Duryodhana were the,{'google_bleu': 0.017241379310344827},True
618,What was King Dhritarashtra's concern regarding his newborn son Duryodhana?,King Dhritarashtra was concerned about whether Duryodhana should become the king after Yudhishthira.,King Dhritarashtra was concerned about his newborn son Duryodhana.,{'google_bleu': 0.32},False
619,What advice did the Brahmanas and Vidura give to King Dhritarashtra regarding Duryodhana?,"They advised King Dhritarashtra to abandon Duryodhana for the good of the family and the race, stating that his birth was accompanied by frightful omens and that he would be the exterminator of the race.",The Brahmanas and Vidura gave King Dhritarashtra advice regarding Dur,{'google_bleu': 0.028169014084507043},True
620,How many sons were born to King Dhritarashtra within a month after Duryodhana's birth?,"A full hundred sons were born to King Dhritarashtra within a month, along with an additional daughter.",King Dhritarashtra had a son named Duryodhana within ,{'google_bleu': 0.07142857142857142},True
621,Who was Karna and how was he related to Dhritarashtra?,Karna was the son of Dhritarashtra and a maid servant of the Vaisya class. He was begotten by Dhritarashtra upon her and was known for his great intelligence.,"Karna was a king of the Kurus, a king of the",{'google_bleu': 0.07894736842105263},True
622,What was Gandhari's wish regarding the birth of her children?,"Gandhari wished to have a daughter in addition to her hundred sons, as she believed that having a daughter would bring blessings and enable her husband to attain higher realms through the affection of daughter's sons.","Gandhari, a descendant of the Pandavas, wished that her children would",{'google_bleu': 0.06164383561643835},False
623,Who was responsible for dividing the ball of flesh that would give birth to Gandhari's children?,"Krishna-Dwaipayana, also known as Vyasa or Ved Vyasa, the great Rishi, divided the ball of flesh to form Gandhari's children.","The illustrious and great Rishi himself, by sprinkling water",{'google_bleu': 0.044444444444444446},True
624,How many sons were intended for Gandhari according to the division of the ball of flesh?,A total of a hundred sons were intended for Gandhari through the division of the ball of flesh.,"The beautiful and chaste Gandhari of rigid vows, real vows, and",{'google_bleu': 0.02857142857142857},True
625,What was done with the part of the ball of flesh that was intended for a daughter?,The part intended for a daughter was put into another pot filled with clarified butter.,The part of the ball of flesh intended for a daughter was taken up by the beautiful and,{'google_bleu': 0.25757575757575757},True
626,What was the outcome of Gandhari's wish for a daughter?,"Gandhari's wish was fulfilled, and she was blessed with a daughter's son in addition to her hundred sons.","Gandhari, a descendant of the Pandavas, wished for a daughter",{'google_bleu': 0.02702702702702703},True
627,What is the name of Dhritarashtra's firstborn son?,Dhritarashtra's firstborn son is named Duryodhana.,Dhritarashtra's firstborn son is named Duryodhana.,{'google_bleu': 1.0},True
628,Who is the last son mentioned in the list of Dhritarashtra's sons?,The last son mentioned is Vikatanana.,The last son mentioned in the list of Dhritarashtra's sons is Dur,{'google_bleu': 0.2619047619047619},True
629,Which son of Dhritarashtra is known for his friendship with Duryodhana?,Karna is known for his friendship with Duryodhana.,Dhritarashtra's son Duryodhana is known for his friendship,{'google_bleu': 0.5},True
630,Who was the daughter of Dhritarashtra?,The daughter of Dhritarashtra was named Duhsala.,Dhritarashtra's daughter was the daughter of Dhritarashtra.,{'google_bleu': 0.3076923076923077},True
631,To whom was Dhritarashtra's daughter Duhsala married?,"Duhsala was married to Jayadratha, the king of Sindhu.",Duhsala was married to the king of Dhritarashtra's,{'google_bleu': 0.42105263157894735},False
632,Why did the deer criticize the king for killing it?,"The deer criticized the king for killing it while it was engaged in sexual intercourse, considering it a cruel and immoral act.",The deer criticized the king for killing it.,{'google_bleu': 0.3},True
633,How did the deer describe the act of sexual intercourse?,The deer described the act of sexual intercourse as a time that is agreeable to every creature and productive of good to all.,"The deer described the act of sexual intercourse as a cruel act, and said that",{'google_bleu': 0.4},True
634,Why did the deer curse the king?,The deer cursed the king for his cruel act of killing without any offense and declared that death would overtake him as soon as he felt sexual desire.,The deer cursed the king because he had killed a deer while engaged,{'google_bleu': 0.13636363636363635},True
635,What was the true identity of the deer?,"The deer revealed itself to be the Muni Kindama, who had assumed the form of a deer to engage in sexual intercourse in the woods due to feelings of modesty.",The true identity of the deer was that of a man of wisdom and virtue.,{'google_bleu': 0.06557377049180328},True
636,What fate did the deer predict for the king and his wife?,"The deer predicted that when the king would approach his wife with lust and unite with her, he would face a similar fate and go to the world of the spirits. His wife would also follow him to the domain of the king of the dead.",The deer predicted that the king and his wife would be killed by a deer,{'google_bleu': 0.10526315789473684},True
637,What did the deer say about the king's action being unworthy of his noble lineage?,"The deer stated that the king's act of killing the deer while engaged in sexual intercourse was extremely cruel, deserving of universal execration, infamous, and sinful, and not befitting his virtuous lineage.",The deer said that the king's action was unworthy of his noble lineage,{'google_bleu': 0.09154929577464789},True
638,Why was king Pandu deeply afflicted and wept bitterly?,King Pandu was deeply afflicted and wept bitterly because he realized the consequences of his actions driven by his own passions and felt remorseful for his wickedness.,king Pandu was deeply afflicted and wept bitterly after the death,{'google_bleu': 0.2169811320754717},True
639,What decision did king Pandu make regarding his way of life?,"King Pandu decided to adopt the Brahmacharya mode of life, renounce worldly concerns, and lead a life of severe ascetic penances to control his passions and seek salvation.",king Pandu made a decision regarding his way of life.,{'google_bleu': 0.059322033898305086},True
640,How did king Pandu plan to sustain himself during his new way of life?,"King Pandu planned to wander the earth, shave his head, and beg for his subsistence from each of the trees standing there.",king Pandu planned to sustain himself during his new way of life by sacrificing his wife,{'google_bleu': 0.09574468085106383},True
641,What attitude did king Pandu intend to maintain towards all creatures?,"King Pandu intended to preserve an equality of behavior towards all creatures, treating them as his own children, and not causing harm to any living beings.","king Pandu intended to maintain a positive attitude towards all creatures, including the animals,",{'google_bleu': 0.15454545454545454},True
642,"How many families did king Pandu plan to beg from each day, and what would he do if he failed to obtain alms?","King Pandu planned to beg from five or ten families at the most each day, and if he failed to obtain alms, he would go without food.","king Pandu planned to beg from each family, and what would he do ",{'google_bleu': 0.17543859649122806},True
643,What did king Pandu say about desiring offspring?,"King Pandu, being unable to procreate, stated that he would not solicit others for children out of desire for offspring, as such an act would be driven by covetousness.",king Pandu said that desiring offspring was a sinful act.,{'google_bleu': 0.03968253968253968},False
644,Why did Pandu ask Kunti to raise offspring?,"Pandu asked Kunti to raise offspring because he was sonless and believed that having a son would bring virtuous fame and religious merit, which he felt was essential for true felicity and spiritual fulfillment.",Pandu asked Kunti to raise offspring at this time of distress.,{'google_bleu': 0.13768115942028986},True
645,What are the six kinds of sons mentioned in the religious institutes?,"The six kinds of sons mentioned are: 1) The son begotten by one's own self upon his wedded wife, 2) The son begotten upon one's wife by an accomplished person from motives of kindness, 3) The son begotten upon one's wife by a person for pecuniary consideration, 4) The son begotten upon the wife after the husband's death, 5) The maiden-born son, and 6) The son born of an unchaste wife.","The six kinds of sons mentioned in the religious institutes are Kunti, Kunt",{'google_bleu': 0.06363636363636363},True
646,In what circumstances should a mother desire offspring of the next class?,"In times of distress, when offspring of a prior class are not available, a mother should desire offspring of the next class according to the hierarchy mentioned.","The wise expounders of the eternal religion declare that a son, O Kunti",{'google_bleu': 0.043859649122807015},True
647,What is the example given to Kunti about raising offspring through another person?,"The example given to Kunti is the story of the daughter of Saradandayana, who waited at a spot where four roads met and solicited a Brahmana of ascetic merit to raise offspring. She bore three mighty car-warrior sons through that Brahmana.",Kunti is the cause of virtuous fame in the three worlds.,{'google_bleu': 0.058823529411764705},True
648,Who does Pandu instruct Kunti to seek as a suitable person to raise offspring?,Pandu instructs Kunti to seek a Brahmana of high ascetic merit as a suitable person to raise offspring.,Pandu instructs Kunti to seek a suitable person as a suitable person to,{'google_bleu': 0.45714285714285713},True
649,Why did Pandu believe that sons confer the highest religious merit?,"Pandu believed that sons confer the highest religious merit based on the teachings of Manu and the understanding that sons are associated with performing sacrifices, charitable gifts, ascetic penances, and observing vows, which are considered sources of religious merit.",Pandu believed that sons confer the highest religious merit.,{'google_bleu': 0.19411764705882353},True
650,What were the names of the sons born to the daughter of Saradandayana?,"The sons born to the daughter of Saradandayana were three mighty car-warriors, and Durjaya was the eldest among them.",The names of the sons born to the daughter of Saradandayana were: ,{'google_bleu': 0.358974358974359},False
651,How did Pandu feel about his past actions and their consequences?,"Pandu felt remorseful and considered himself wretched for his past actions, which led to the loss of his procreative powers and the curse of the deer. He believed that his previous life of cruelty and lust had brought upon him his current state of distress.",Pandu felt that his actions and actions were a reflection of his past actions and their consequences,{'google_bleu': 0.08602150537634409},True
652,Who was the virtuous king in the race of Puru mentioned in the story?,The virtuous king in the race of Puru mentioned in the story was Vyushitaswa.,The virtuous king in the race of Puru mentioned in the story was V,{'google_bleu': 0.8518518518518519},True
653,What did Vyushitaswa do after conquering the whole Earth?,"After conquering the whole Earth, Vyushitaswa protected every class of his subjects and performed many great sacrifices. He also gave away much wealth to the Brahmanas and made arrangements for performing even greater sacrifices.",Vyushitaswa conquered the whole Earth and became a ,{'google_bleu': 0.056338028169014086},True
654,What happened to Vyushitaswa due to sexual excess?,"Vyushitaswa suffered from an attack of phthisis, a type of wasting disease, due to sexual excess and died within a few days.",Vyushitaswa was a king in the race of Puru,{'google_bleu': 0.031914893617021274},True
655,"How did Bhadra, the wife of Vyushitaswa, react to his death?","Bhadra, the wife of Vyushitaswa, was plunged into woe and wept in great affliction. She expressed her desire to follow her husband and expressed her inability to bear life without him.","Bhadra, the wife of Vyushitaswa, reacted",{'google_bleu': 0.16417910447761194},True
656,What did Bhadra wish to do after Vyushitaswa's death?,Bhadra wished to follow her husband and asked him to take her with him. She expressed her willingness to obey him and follow him wherever he went.,Bhadra wanted to become a king in the race of Puru after Vy,{'google_bleu': 0.01818181818181818},True
657,Why did Bhadra believe she was suffering the separation from her husband?,"Bhadra believed that she must have separated some loving couple in a former life, and as a consequence, she was suffering the pangs of separation from her husband in this life.",Bhadra believed she was suffering the separation from her husband because she was suffering from a,{'google_bleu': 0.19230769230769232},False
658,What did Bhadra vow to do after Vyushitaswa's death?,"After Vyushitaswa's death, Bhadra vowed to lay herself down on a bed of Kusa grass, abstain from every luxury, and hope to behold her husband once more.",Bhadra vowed to do what he had done before Vyushita,{'google_bleu': 0.05084745762711865},True
659,Who established the existing usage of raising offspring in defiance of antiquity?,"The existing usage of raising offspring in defiance of antiquity was established by Swetaketu, the son of Uddalaka.",The existing usage of raising offspring in defiance of antiquity was established by Swe,{'google_bleu': 0.6216216216216216},True
660,Who did Madayanti approach to raise offspring as commanded by her husband?,"Madayanti, the wife of Saudasa, approached Rishi Vasishtha to raise offspring as commanded by her husband.",Madayanti approached Rishi Vasishtha to raise offspring as commanded by her,{'google_bleu': 0.5},False
661,What was the name of the son obtained by Madayanti from Rishi Vasishtha?,The son obtained by Madayanti from Rishi Vasishtha was named Asmaka.,Madayanti obtained a son named Asmaka from Rishi Vasishtha.,{'google_bleu': 0.30952380952380953},True
662,How were the Kuru race perpetuated?,The Kuru race was perpetuated through the begetting of offspring by Krishna-Dwaipayana (Vyasa).,The Kuru race was perpetuated by the kings of the sacrament,{'google_bleu': 0.29310344827586204},True
663,What have those acquainted with the rules of morality declared regarding a wife's duty during her monthly season?,"Those acquainted with the rules of morality have declared that a wife, when her monthly season comes, must seek her husband, although at other times she deserves liberty.",The rules of morality have been established regarding a wife's duty during her monthly season,{'google_bleu': 0.13934426229508196},True
664,What does the husband request the wife to do regarding raising offspring?,The husband requests the wife to raise offspring through a Brahmana possessing high ascetic merit.,The husband requests the wife to raise offspring.,{'google_bleu': 0.46551724137931033},True
665,What does the husband express about his desire to have offspring?,"The husband, being deprived of the power of procreation, expresses his strong desire to have offspring and requests the wife to obey him.",The husband expresses his desire to have offspring.,{'google_bleu': 0.17346938775510204},True
666,What did Pandu command Kunti to do?,Pandu commanded Kunti to ask for an offspring of superior strength.,Pandu commanded Kunti to give Vayu an offspring of superior strength.,{'google_bleu': 0.6666666666666666},False
667,Whom did Kunti invoke to fulfill Pandu's command?,"Kunti invoked Vayu, the god of wind.",Kunti invoked Vayu to fulfill Pandu's command.,{'google_bleu': 0.23333333333333334},True
668,What did Kunti ask Vayu for?,"Kunti asked Vayu to give her a child endowed with great strength and largeness of limbs, capable of humbling the pride of everyone.",Kunti asked Vayu for an offspring of superior strength.,{'google_bleu': 0.09574468085106383},True
669,Who was begotten upon Kunti by the god of wind?,"The child begotten upon Kunti by the god of wind was Bhima, known for his mighty arms and fierce prowess.",Kunti was begotten by the god of wind.,{'google_bleu': 0.21951219512195122},True
670,What happened when Bhima fell from Kunti's lap?,"When Bhima fell from Kunti's lap, the violence of the fall broke the stone upon which he fell into fragments, but his infant body remained uninjured.",Bhima fell from Kunti's lap and he fell from the lap of,{'google_bleu': 0.17272727272727273},True
671,Who became exceedingly glad upon hearing the extraordinary words?,The ascetics dwelling on the mountain of a hundred peaks and the celestials with Indra sitting in their cars became exceedingly glad.,"The ascetics dwelling on the mountain of a hundred peaks, and the celes",{'google_bleu': 0.43023255813953487},True
672,What happened in the sky when the extraordinary words were heard?,The sounds of the (invisible) drum filled the entire welkin and the whole region was covered with flowers showered down by invisible agents.,"The son of Pritha, who was a king of the kings",{'google_bleu': 0.05102040816326531},True
673,Who came to offer their respectful adorations to the son of Pritha?,"The sons of Kadru (Nagas), the son of Vinata, the Gandharvas, the lords of the creation, and the seven great Rishis, among others, came to offer their respectful adorations to the son of Pritha.","The various tribes of celestials assembled together, began to offer their respectful ador",{'google_bleu': 0.0783132530120482},True
674,Who danced and sang among the celestial beings?,"Many illustrious Apsaras and celestial Gandharvas, such as Menaka, Rambha, Tilottama, and the tribes of Haha and Huhu, danced and sang.",The son of Pritha danced and sang among the celestial beings.,{'google_bleu': 0.09803921568627451},True
675,Who came to glorify Pandu's son?,"The twelve Adityas, Dharti, Aryaman, Mitra, Varuna, Bhaga, Indra, and other celestial beings came to glorify Pandu's son.","The ascetics dwelling on the mountain of a hundred peaks, and the celes",{'google_bleu': 0.04081632653061224},True
676,Which Rudras and Nagas came to the gathering?,"The eleven Rudras, including Mrigavyadha and Bhaga, and many Nagas, such as Karkotaka and Takshaka, came to the gathering.","The Rudras and Nagas came to the gathering, and the ascetics dwelling",{'google_bleu': 0.18888888888888888},True
677,How did the Munis react upon seeing the celestials and other beings?,"The Munis became amazed upon seeing the celestials and other beings, and their love and affection for the children of Pandu was enhanced.",The Munis reacted with joy to seeing the celestials and other beings,{'google_bleu': 0.22340425531914893},False
678,Whom did Pandu ask Kunti to think of for obtaining more offspring?,Pandu asked Kunti to think of some celestial for obtaining more offspring.,Pandu asked Kunti to think of a person he believed in for obtaining,{'google_bleu': 0.45652173913043476},True
679,Whom did Madri think of for bearing children?,Madri thought of the twin Aswins for bearing children.,Madri thought of a man who would bear children for the expansion of his race and,{'google_bleu': 0.15517241379310345},True
680,How many sons were born to Madri after thinking of the twin Aswins?,Madri gave birth to two sons who were twins named Nakula and Sahadeva.,"Madri had a son named Madri, who was born to the twin As",{'google_bleu': 0.08},True
681,What was the prophecy about the twin sons Nakula and Sahadeva?,An incorporeal voice said that the twin sons Nakula and Sahadeva would transcend even the twin Aswins themselves in energy and beauty.,The prophecy was about the twin sons Nakula and Sahadeva.,{'google_bleu': 0.22093023255813954},True
682,Where did Pandu and Madri go for a stroll?,Pandu and Madri went to the woods where every tree had put forth new blossoms.,Pandu and Madri went for a stroll in the woods where every tree had,{'google_bleu': 0.4827586206896552},False
683,What kind of trees did Pandu see in the woods?,"Pandu saw Palasas, Tilakas, Mangoes, Champakas, Parihadrakas, Karnikaras, Asokas, Kesaras, Atimuktas, Kuruvakas, and other trees.",Pandu saw all around Palasas and Tilakas and Mangoes,{'google_bleu': 0.07142857142857142},True
684,What did Pandu feel when he beheld the scenery in the woods?,Pandu felt the soft influence of desire.,Pandu felt the last might of his arms revive once more when he beheld the scenery,{'google_bleu': 0.1206896551724138},True
685,How did Pandu's desire affect him?,"Pandu's desire flamed up like a forest-fire, and he was completely overpowered by it.",Pandu's desire to see his sons grow up in the forest on the charming mountain,{'google_bleu': 0.06896551724137931},True
686,What happened to Pandu as a result of his actions?,"Pandu, driven by desire and impelled by fate, succumbed to the inevitable influence of Time and lost his life while united in intercourse with Madri.","Pandu was a king of the forests, a king of the king",{'google_bleu': 0.03773584905660377},True
687,Who took their seats before the Rishis and greeted them with respect?,The Kauravas and the citizens took their seats before the Rishis and greeted them with respect.,"The Kauravas, accompanied by their priest, saluted the Rishis by",{'google_bleu': 0.11290322580645161},True
688,Who worshipped the ascetics by offering them water to wash their feet and the customary Arghya?,Bhishma worshipped the ascetics by offering them water to wash their feet and the customary Arghya.,The Kauravas worshipped the ascetics by offering them water to wash their feet and,{'google_bleu': 0.6774193548387096},True
689,"Who spoke about the birth, growth, and Vedic studies of Pandu's children?","The oldest of the ascetics, with the concurrence of the other Rishis, spoke about the birth, growth, and Vedic studies of Pandu's children.","The Kauravas, accompanied by their priest, spoke about the birth, growth, and",{'google_bleu': 0.3018867924528302},True
690,"How did Pandu's wife, Madri, sacrifice her life?","Madri sacrificed her life by ascending the funeral pyre of Pandu, her husband.","Madri, Pandu's wife, sacrificed her life for the sake of the",{'google_bleu': 0.18518518518518517},True
691,What did the citizens do after the Rishis and Siddhas disappeared?,"The citizens, filled with wonder, returned to their homes after the Rishis and Siddhas disappeared.","The citizens, accompanied by their priest, saluted the Rishis and Sid",{'google_bleu': 0.21212121212121213},True
692,Whom did Duryodhana conceive hostility towards?,"Duryodhana conceived hostility towards Bhima, the second son of Pandu.","Duryodhana conceive hostility towards Bhima, the second son",{'google_bleu': 0.5476190476190477},True
693,What did Duryodhana plan to do to Bhima?,Duryodhana planned to throw Bhima into the current of the Ganga when he was sleeping in the garden.,Duryodhana planned to destroy Bhima by artifice.,{'google_bleu': 0.11428571428571428},True
694,What did Duryodhana build near the banks of the Ganga?,"Duryodhana built a palace called the ""water-sport house"" near the banks of the Ganga.","Duryodhana built a temple near the banks of the Ganga, ",{'google_bleu': 0.3870967741935484},True
695,What did Duryodhana invite the Pandavas to do at the banks of the Ganga?,Duryodhana invited the Pandavas to sport in the water at the banks of the Ganga.,Duryodhana invited the Pandavas to do a sacrificial,{'google_bleu': 0.2413793103448276},True
696,How did the sons of Dhritarashtra and the Pandavas travel to the banks of the Ganga?,The sons of Dhritarashtra and the Pandavas traveled to the banks of the Ganga on country-born elephants of great size and cars resembling towns.,The sons of Dhritarashtra and the Pandavas traveled to the banks of the,{'google_bleu': 0.48936170212765956},False
697,How did Bhima receive blessings from the Nagas?,Bhima received blessings from the Nagas after purifying himself with a bath in the waters and eating paramanna (rice and sugar pudding) offered by the Nagas.,Bhima received blessings from the Nagas by bathing in the waters of the,{'google_bleu': 0.23636363636363636},True
698,Where did the Nagas place Bhima after bringing him from the nether region?,The Nagas placed Bhima in the selfsame gardens where he had been sporting before and then vanished.,"Bhima was placed in the midst of the waters by the Nagas, who",{'google_bleu': 0.09090909090909091},True
